fpr,tpr
0.15498,0.48204
0.15564,0.48348
0.15618,0.48508
0.15666,0.48638
0.15714,0.4878
0.15768,0.48924
0.15822,0.49072
0.15868,0.49216
0.1592,0.49356
0.15968,0.4947
0.1602,0.49598
0.16052,0.49736
0.16098,0.49856
0.16138,0.50062
0.16186,0.5019
0.16242,0.50296
0.16282,0.50426
0.1634,0.5054
0.16378,0.50664
0.1643,0.50784
0.16492,0.50896
0.16554,0.51008
0.16596,0.51172
0.16652,0.51306
0.167,0.51424
0.16756,0.51528
0.16804,0.51636
0.16858,0.5175
0.16924,0.51876
0.16982,0.5198
0.1704,0.52108
0.17088,0.52264
0.17128,0.52428
0.17172,0.5257
0.17226,0.52682
0.17274,0.52806
0.17322,0.52934
0.17378,0.5305
0.17434,0.53186
0.1749,0.53302
0.17538,0.53408
0.176,0.53506
0.17654,0.5364
0.17714,0.53806
0.17776,0.539
0.17836,0.54034
0.1788,0.54136
0.17924,0.54234
0.17988,0.54322
0.18038,0.54482
0.1809,0.54622
0.1815,0.54736
0.18194,0.54894
0.18254,0.5501
0.18298,0.55138
0.1835,0.55238
0.18406,0.55352
0.18462,0.55466
0.18504,0.55578
0.18554,0.55676
0.18596,0.55794
0.18638,0.55956
0.18688,0.56044
0.18736,0.56144
0.188,0.5623
0.18842,0.56378
0.1889,0.56526
0.18952,0.56638
0.19004,0.56768
0.19066,0.56938
0.1912,0.57044
0.19166,0.5714
0.19226,0.57252
0.19274,0.57414
0.19318,0.57572
0.19352,0.57716
0.19396,0.57868
0.19448,0.58008
0.19494,0.5812
0.19562,0.58274
0.19606,0.58394
0.19652,0.58512
0.19706,0.58676
0.1975,0.58808
0.198,0.58962
0.1985,0.59036
0.19896,0.59168
0.19944,0.59326
0.19994,0.59472
0.20044,0.59608
0.20096,0.59752
0.20148,0.59892
0.20206,0.60056
0.20266,0.60162
0.20322,0.60288
0.20374,0.60462
0.20434,0.60578
0.20488,0.60702
0.2054,0.6082
0.206,0.60912
0.20658,0.6103
0.20716,0.61144
0.20772,0.61238
0.20824,0.61368
0.20862,0.61504
0.20928,0.61598
0.20988,0.61692
0.21044,0.61778
0.21096,0.6189
0.21168,0.62004
0.21232,0.6209
0.21284,0.62204
0.21346,0.62348
0.21394,0.62436
0.2144,0.62568
0.21498,0.62674
0.21556,0.62768
0.21608,0.6286
0.21668,0.63004
0.21718,0.631
0.21782,0.632
0.21838,0.63342
0.21896,0.63436
0.2197,0.63514
0.22024,0.63624
0.22088,0.63714
0.2216,0.63806
0.22222,0.63902
0.22276,0.64048
0.2233,0.64196
0.2238,0.64288
0.22438,0.64406
0.22488,0.64534
0.22542,0.6462
0.22614,0.64714
0.22672,0.64806
0.2272,0.6493
0.2278,0.65048
0.22836,0.65142
0.22884,0.65228
0.22942,0.65368
0.22998,0.65466
0.23046,0.65582
0.23104,0.65676
0.23162,0.65804
0.23222,0.65892
0.2328,0.65984
0.23336,0.66112
0.2339,0.66194
0.23452,0.66314
0.23506,0.664
0.23556,0.66478
0.23612,0.66558
0.23664,0.66646
0.23722,0.66764
0.23782,0.66848
0.23856,0.66964
0.2392,0.6706
0.23992,0.67184
0.2404,0.67276
0.24112,0.67396
0.24166,0.67498
0.24234,0.67592
0.24298,0.67684
0.24358,0.67788
0.2442,0.679
0.24496,0.6801
0.24564,0.68124
0.24636,0.68212
0.2469,0.68306
0.24758,0.6842
0.24826,0.68532
0.24908,0.68622
0.24992,0.68714
0.25056,0.68824
0.25126,0.68938
0.25172,0.69008
0.25232,0.69122
0.2532,0.69226
0.25398,0.69354
0.25476,0.69446
0.25532,0.69538
0.25598,0.69636
0.2567,0.69702
0.25712,0.69784
0.25776,0.69894
0.25832,0.6997
0.25902,0.7005
0.25962,0.70164
0.26026,0.70268
0.26102,0.70344
0.26178,0.70394
0.2625,0.70474
0.26322,0.70576
0.26374,0.70652
0.26444,0.7076
0.26504,0.70862
0.26574,0.70948
0.26638,0.71026
0.26702,0.71112
0.2676,0.71216
0.26824,0.71302
0.26896,0.71406
0.26976,0.71486
0.27052,0.71576
0.27116,0.71666
0.27182,0.71772
0.27244,0.71874
0.27296,0.71962
0.27368,0.72066
0.27424,0.72174
0.27478,0.72262
0.2755,0.72366
0.27616,0.7246
0.27668,0.72554
0.27732,0.7266
0.27802,0.7274
0.27852,0.72826
0.27914,0.72946
0.27982,0.7305
0.28058,0.73122
0.28138,0.73224
0.28208,0.73308
0.28282,0.73386
0.28356,0.73474
0.2842,0.73554
0.28468,0.73636
0.2853,0.7373
0.2859,0.7383
0.28638,0.73964
0.28718,0.7406
0.2878,0.7417
0.28864,0.74248
0.28924,0.74322
0.28984,0.7443
0.29058,0.74512
0.29122,0.74606
0.29176,0.74692
0.2923,0.74764
0.29284,0.74846
0.2935,0.74962
0.29414,0.75058
0.29496,0.75148
0.2956,0.75246
0.29618,0.75342
0.297,0.75428
0.29764,0.755
0.29834,0.75586
0.29914,0.75666
0.29982,0.7576
0.30042,0.75836
0.3011,0.7593
0.30168,0.76008
0.30244,0.76096
0.3031,0.76172
0.30368,0.7625
0.3047,0.76334
0.30552,0.76414
0.30622,0.76502
0.30682,0.76594
0.30754,0.76664
0.30838,0.76746
0.309,0.76832
0.30966,0.76912
0.31018,0.77022
0.31096,0.77114
0.31168,0.77196
0.31242,0.77298
0.31312,0.7739
0.31376,0.7747
0.3145,0.77542
0.31504,0.77608
0.31586,0.77694
0.3166,0.77792
0.3173,0.77882
0.31816,0.77968
0.31892,0.7804
0.31964,0.78148
0.32032,0.78234
0.32102,0.78322
0.32188,0.78406
0.32272,0.78508
0.32342,0.786
0.32444,0.78674
0.32516,0.78752
0.32584,0.78854
0.32672,0.7895
0.32744,0.79022
0.32828,0.79112
0.32908,0.7919
0.32996,0.79266
0.33068,0.7936
0.33158,0.79458
0.33264,0.79524
0.3333,0.79614
0.33416,0.79708
0.33504,0.798
0.336,0.79874
0.33674,0.79952
0.33742,0.80028
0.338,0.80106
0.3387,0.80186
0.33942,0.80284
0.34036,0.80352
0.34122,0.80434
0.34192,0.80502
0.34266,0.80592
0.3434,0.80668
0.34414,0.80742
0.34494,0.80846
0.34574,0.80942
0.34664,0.81026
0.34758,0.811
0.34834,0.81176
0.34902,0.8125
0.34968,0.81338
0.35064,0.81428
0.35156,0.815
0.35248,0.81574
0.35328,0.8164
0.35406,0.81736
0.355,0.81814
0.35576,0.81892
0.35662,0.81956
0.3574,0.82022
0.35816,0.82092
0.3588,0.82164
0.35968,0.82226
0.36064,0.8229
0.36152,0.82352
0.36244,0.82428
0.36332,0.82502
0.3642,0.8257
0.36534,0.82626
0.36622,0.82694
0.36698,0.82764
0.36776,0.82836
0.36866,0.82906
0.36936,0.82964
0.37008,0.83026
0.371,0.83092
0.37214,0.83156
0.37306,0.83236
0.37368,0.83322
0.37448,0.83386
0.3756,0.83454
0.37694,0.83518
0.37788,0.83592
0.37862,0.83668
0.37962,0.83744
0.3806,0.83816
0.38132,0.83886
0.3823,0.83972
0.38334,0.84038
0.38402,0.84128
0.38496,0.84194
0.38566,0.84256
0.38644,0.84326
0.38724,0.84386
0.3882,0.84452
0.38908,0.8453
0.38978,0.84616
0.39084,0.8469
0.39168,0.8475
0.39262,0.84814
0.39344,0.84906
0.39426,0.84974
0.39552,0.85044
0.39644,0.85102
0.39752,0.85158
0.39846,0.85218
0.39918,0.85282
0.40038,0.8535
0.40122,0.85418
0.40212,0.8549
0.40318,0.85556
0.40402,0.8562
0.40456,0.85682
0.40558,0.85744
0.40636,0.85804
0.40726,0.85864
0.40804,0.85932
0.40896,0.85994
0.40972,0.86076
0.4109,0.8614
0.4119,0.86216
0.41278,0.8628
0.41388,0.8633
0.41476,0.86388
0.4159,0.8645
0.41676,0.86526
0.41794,0.866
0.4189,0.86674
0.41984,0.86736
0.42102,0.86788
0.42214,0.8686
0.42298,0.86924
0.42416,0.86996
0.42548,0.87064
0.4266,0.87118
0.4274,0.87166
0.42882,0.87228
0.42982,0.87296
0.43078,0.87346
0.43224,0.8741
0.43324,0.87466
0.43444,0.87524
0.43564,0.87584
0.43668,0.87646
0.43792,0.87708
0.43894,0.87776
0.44012,0.87826
0.44106,0.87892
0.44204,0.87944
0.44288,0.88006
0.4439,0.8806
0.44502,0.8812
0.44628,0.88174
0.44734,0.88234
0.4487,0.88296
0.44966,0.88362
0.45104,0.88428
0.45222,0.8848
0.4531,0.88538
0.45392,0.88608
0.45458,0.88674
0.45558,0.88718
0.45692,0.88768
0.45854,0.8883
0.45986,0.88886
0.4612,0.88952
0.46248,0.89014
0.4639,0.89076
0.4649,0.89132
0.4662,0.89184
0.46738,0.8924
0.46884,0.893
0.47008,0.8935
0.47138,0.89408
0.47238,0.8946
0.47352,0.89526
0.47498,0.89586
0.47606,0.89658
0.47714,0.89706
0.47868,0.89756
0.4803,0.89808
0.48162,0.8987
0.48274,0.89916
0.48416,0.89974
0.48564,0.9002
0.48678,0.90072
0.48768,0.90116
0.4891,0.90176
0.49062,0.90228
0.4923,0.90276
0.4934,0.9033
0.49472,0.90376
0.49604,0.90416
0.49726,0.90476
0.499,0.90528
0.50074,0.9058
0.5021,0.9064
0.50378,0.9069
0.5053,0.90744
0.5073,0.9079
0.50904,0.90838
0.511,0.90886
0.51312,0.90934
0.51442,0.90982
0.5155,0.91038
0.51676,0.91092
0.51846,0.91146
0.51992,0.91198
0.521,0.9125
0.52242,0.913
0.52366,0.9135
0.52518,0.914
0.52726,0.91454
0.52866,0.91518
0.5304,0.91556
0.53216,0.91604
0.53382,0.91662
0.5356,0.91726
0.53728,0.91774
0.5391,0.9182
0.54108,0.91868
0.54266,0.91934
0.54434,0.91984
0.54612,0.92042
0.54758,0.92088
0.54942,0.92138
0.55072,0.92182
0.55202,0.92228
0.55402,0.92276
0.55526,0.9233
0.55686,0.9238
0.55936,0.92428
0.56052,0.92482
0.5619,0.92536
0.56414,0.92582
0.5661,0.9263
0.56716,0.92676
0.5696,0.92734
0.57188,0.92778
0.57364,0.92822
0.57496,0.92868
0.57656,0.92932
0.57828,0.92988
0.57982,0.93036
0.58238,0.93082
0.58384,0.93124
0.58556,0.93168
0.5871,0.93216
0.58918,0.93266
0.59108,0.93318
0.5926,0.93364
0.59404,0.9341
0.59614,0.93462
0.5982,0.93508
0.6008,0.93546
0.60244,0.936
0.60434,0.93638
0.60604,0.93682
0.60782,0.9373
0.60972,0.9379
0.61152,0.93836
0.61314,0.93876
0.61476,0.93912
0.61664,0.9395
0.61812,0.93996
0.61972,0.94048
0.62182,0.94094
0.62354,0.94142
0.625,0.94188
0.62748,0.94232
0.6296,0.9428
