fpr,tpr
0.1684,0.79724
0.16908,0.79804
0.16986,0.79906
0.17048,0.79982
0.17134,0.80066
0.17204,0.80142
0.17274,0.80238
0.17326,0.8032
0.1741,0.804
0.17468,0.80504
0.17516,0.80578
0.17588,0.80658
0.17662,0.80744
0.17736,0.8082
0.1783,0.80898
0.17896,0.80976
0.17998,0.81066
0.18068,0.81158
0.18144,0.81262
0.18222,0.81356
0.18274,0.81444
0.18338,0.81532
0.18404,0.8164
0.18496,0.81722
0.18572,0.81834
0.18664,0.81914
0.18764,0.8199
0.18852,0.82064
0.18908,0.82136
0.18984,0.8222
0.19058,0.82296
0.19142,0.82372
0.19222,0.82446
0.19282,0.82534
0.19364,0.82636
0.19444,0.82732
0.19522,0.8283
0.19588,0.82912
0.19652,0.82998
0.19738,0.83098
0.19814,0.83202
0.19878,0.83296
0.19942,0.83378
0.20038,0.83482
0.20094,0.83548
0.20166,0.83624
0.20252,0.83708
0.20368,0.83788
0.2046,0.83872
0.20544,0.83942
0.20616,0.84018
0.20696,0.84104
0.2079,0.8418
0.20856,0.84248
0.20948,0.8431
0.21022,0.84404
0.2111,0.84466
0.21188,0.84536
0.21284,0.84608
0.21366,0.84692
0.21462,0.84814
0.21554,0.84888
0.21638,0.84954
0.21752,0.85022
0.21838,0.851
0.2193,0.85168
0.22016,0.85242
0.22106,0.8531
0.22174,0.85366
0.22256,0.85438
0.22386,0.8551
0.22466,0.85564
0.22558,0.85624
0.22672,0.85718
0.22746,0.8578
0.2285,0.85854
0.2291,0.85944
0.23012,0.86014
0.2312,0.86086
0.23234,0.86154
0.23364,0.86238
0.23478,0.86318
0.23548,0.864
0.23628,0.8647
0.23728,0.86544
0.23864,0.86622
0.23966,0.86706
0.2408,0.8678
0.24172,0.86834
0.24262,0.86884
0.24362,0.86952
0.2445,0.87016
0.2456,0.87074
0.24654,0.87138
0.24748,0.87188
0.24848,0.87254
0.2496,0.87328
0.25098,0.8738
0.2519,0.87442
0.25314,0.87514
0.254,0.8757
0.25522,0.87628
0.25648,0.87694
0.25758,0.87774
0.25866,0.87844
0.25962,0.87916
0.26076,0.87962
