fpr,tpr
0.1709,0.84548
0.17164,0.84618
0.17238,0.847
0.173,0.84798
0.1737,0.84868
0.17456,0.84956
0.17544,0.85022
0.17622,0.85096
0.1772,0.85176
0.178,0.85242
0.1787,0.853
0.17964,0.85374
0.18028,0.8546
0.18116,0.85514
0.18194,0.85584
0.1829,0.85652
0.18356,0.85718
0.18424,0.8579
0.18512,0.85858
0.18604,0.85912
0.18692,0.8599
0.18774,0.86064
0.1885,0.86134
0.18942,0.86224
0.1902,0.8631
0.19106,0.86388
0.19202,0.86454
0.19306,0.86512
0.19376,0.86572
0.19508,0.86636
0.19608,0.86692
0.1969,0.86766
0.1977,0.86848
0.19884,0.8693
0.19984,0.86996
0.20084,0.8709
0.2018,0.87156
0.20292,0.8722
0.20396,0.87292
0.20474,0.87362
0.20576,0.87432
0.2065,0.87486
0.20712,0.87532
0.20816,0.876
0.20906,0.87674
0.21028,0.87736
0.21108,0.87792
0.21196,0.87852
0.21298,0.87928
0.21366,0.87984
0.21478,0.88036
0.216,0.88108
0.21684,0.88176
0.21774,0.88266
0.21868,0.88348
0.21948,0.88412
0.22052,0.88476
0.22166,0.88548
0.22274,0.88616
0.22396,0.88696
0.22494,0.88764
0.22592,0.88816
0.22692,0.88888
0.22808,0.88948
0.2291,0.89008
0.23016,0.8906
0.23152,0.89128
0.23264,0.89196
0.2337,0.89274
0.23506,0.89342
0.23648,0.89406
0.2376,0.89476
0.23868,0.89532
0.2402,0.89594
0.24164,0.89652
0.24264,0.89702
0.24418,0.8975
0.2455,0.89802
0.24666,0.89868
0.24792,0.89924
0.24902,0.89986
0.24988,0.90048
0.25108,0.90102
0.2524,0.90148
0.25378,0.9022
0.25486,0.90282
0.25612,0.9034
0.25712,0.90392
0.25842,0.90456
0.25934,0.90516
0.2607,0.90588
0.26192,0.90642
0.26306,0.90688
0.26444,0.90748
0.26548,0.9081
0.26698,0.90872
0.26844,0.90924
0.26958,0.90986
0.27096,0.9104
0.27264,0.91082
0.27436,0.91138
0.2757,0.91192
0.2772,0.91244
0.27816,0.913
0.2794,0.91356
0.28066,0.91408
0.28224,0.9146
0.28328,0.91512
0.28494,0.91558
0.2863,0.91612
0.28806,0.91662
0.28986,0.91714
0.2922,0.91768
0.2938,0.91824
0.29552,0.91874
0.29736,0.9193
0.29886,0.9197
0.30032,0.92022
0.30194,0.92076
0.3036,0.92124
0.3048,0.92182
0.3063,0.9224
0.3079,0.92294
0.30986,0.92336
0.31178,0.92384
0.31336,0.92434
0.3153,0.9249
0.31684,0.92536
0.31804,0.92588
0.31962,0.92634
0.32208,0.927
0.32384,0.9275
0.32582,0.92804
0.32758,0.92858
0.3289,0.92906
0.33024,0.92952
0.3316,0.93002
0.33386,0.93048
0.33552,0.93092
0.33728,0.93138
0.33922,0.93192
0.34144,0.93238
0.3443,0.93288
0.34654,0.93346
0.34798,0.93392
0.35024,0.93448
0.3524,0.93496
0.35442,0.93548
0.35668,0.93604
0.35862,0.93652
0.36066,0.93692
0.36292,0.93742
0.36506,0.93786
0.3668,0.93834
0.36848,0.9389
0.37102,0.93938
0.37304,0.93984
0.37572,0.94032
0.3776,0.9408
0.3794,0.94122
0.38124,0.94174
0.38298,0.94226
0.38492,0.94272
0.38732,0.94318
0.38952,0.94362
0.39184,0.94408
0.3939,0.94452
0.39666,0.94498
0.39956,0.94546
0.40148,0.94592
0.40422,0.94638
0.4064,0.94682
0.40852,0.9473
0.41134,0.94782
0.41366,0.94842
0.4164,0.9489
0.41838,0.94938
0.42028,0.94984
0.42242,0.95032
0.42526,0.95072
0.4272,0.95118
0.4293,0.95168
0.43156,0.9521
0.4346,0.95258
0.4378,0.95308
0.4417,0.95352
0.44488,0.95398
0.4475,0.95446
0.45104,0.9549
0.45398,0.95534
0.4567,0.9558
0.45992,0.95622
0.4619,0.95672
0.46512,0.9572
0.46814,0.95768
0.47116,0.95818
0.47474,0.95862
0.47786,0.95906
0.48076,0.95952
0.48434,0.9599
0.48878,0.96036
0.49236,0.9608
0.49466,0.96128
0.49812,0.96172
0.50208,0.96214
0.50598,0.9626
0.50952,0.96302
0.51288,0.96346
0.5165,0.96398
0.52244,0.9644
0.52578,0.96482
0.52932,0.96524
0.53258,0.96572
0.53688,0.96618
0.54022,0.9666
0.5446,0.967
0.54794,0.9674
0.55222,0.96786
0.5561,0.96834
0.5601,0.96874
0.56536,0.96918
0.56934,0.96964
0.57266,0.97006
0.57558,0.97044
0.58006,0.97086
0.58322,0.9713
0.58632,0.97172
0.59156,0.97212
0.59576,0.97254
0.60062,0.97292
0.60526,0.97332
0.60976,0.97372
0.61588,0.97424
0.62034,0.97464
0.62524,0.97506
0.62942,0.97552
0.63332,0.97598
0.63732,0.97642
0.64238,0.97684
0.6461,0.97728
0.64924,0.97774
0.6537,0.97818
0.65824,0.9786
0.66246,0.97902
0.6696,0.97946
0.67392,0.97982
0.67884,0.98022
0.68428,0.98066
0.69018,0.98108
0.69504,0.9815
0.69984,0.98194
0.70514,0.98232
0.71098,0.98272
0.71608,0.98312
0.72174,0.98352
0.72696,0.98396
0.73166,0.98438
0.73896,0.9848
0.74392,0.98524
0.74784,0.98564
0.753,0.98602
0.758,0.9864
0.76374,0.9868
0.76908,0.9872
0.77444,0.98758
0.78002,0.98796
0.78734,0.98838
0.79366,0.98882
0.8001,0.9892
0.8049,0.98964
0.81166,0.99008
0.81768,0.9905
0.82416,0.99088
0.8313,0.99128
0.83954,0.99168
0.84778,0.99208
0.85318,0.99248
0.85834,0.99284
0.86688,0.9933
0.87258,0.99368
0.88018,0.99408
0.88816,0.99456
0.8971,0.99492
0.90266,0.99534
0.9126,0.99574
0.92094,0.99616
0.9317,0.99662
0.93712,0.99708
0.94384,0.99754
0.94988,0.99792
0.95696,0.99832
0.97232,0.99872
0.97882,0.99914
0.9877,0.99958
1.0,1.0
